epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.4327,1.66751,4.28075,1.75971,0.01212,0.36454,0.05414,0.02847,1.60638,3.86084,1.76615,0.00326667,0.00326667,0.00326667
2,52.454,1.44785,3.23158,1.59947,0.75512,0.09167,0.12581,0.03391,2.00387,3.65406,2.24615,0.00658724,0.00658724,0.00658724
3,76.3249,1.43139,2.74022,1.54715,0.45623,0.07403,0.0586,0.02187,2.52149,3.61358,2.78793,0.00989492,0.00989492,0.00989492
4,99.9564,1.52381,2.64993,1.58853,0.12383,0.02328,0.01141,0.00234,3.21728,5.10189,3.18541,0.00994199,0.00994199,0.00994199
5,124.248,1.53904,2.35613,1.58884,0.27857,0.21469,0.17906,0.07298,2.47764,5.74126,2.99974,0.00992266,0.00992266,0.00992266
6,147.806,1.50338,2.17809,1.5663,0.49949,0.20793,0.19943,0.08289,2.27779,3.14269,2.61047,0.00990332,0.00990332,0.00990332
7,171.726,1.46477,1.99278,1.53141,0.2927,0.22681,0.1394,0.04978,2.32747,3.40515,2.59979,0.00988398,0.00988398,0.00988398
8,195.762,1.47325,1.91773,1.52875,0.3885,0.17278,0.07113,0.02484,2.13419,3.37431,2.65065,0.00986465,0.00986465,0.00986465
9,220.544,1.42076,1.79553,1.49809,0.53943,0.17533,0.14334,0.04805,2.28672,3.24939,2.60666,0.00984531,0.00984531,0.00984531
10,245.051,1.37734,1.67643,1.47134,0.40618,0.23868,0.25679,0.10793,2.24535,3.20695,2.44896,0.00982598,0.00982598,0.00982598
11,270.425,1.404,1.681,1.47735,0.36292,0.31778,0.19735,0.09113,2.11841,2.87988,2.36084,0.00980664,0.00980664,0.00980664
12,294.306,1.36349,1.59306,1.45408,0.55935,0.40926,0.37716,0.18632,1.84621,2.44069,2.08227,0.0097873,0.0097873,0.0097873
13,317.838,1.30018,1.48917,1.40989,0.66483,0.39886,0.42078,0.2231,1.75814,2.32793,2.05734,0.00976797,0.00976797,0.00976797
14,342.078,1.30397,1.43757,1.41088,0.44403,0.42609,0.32867,0.14751,1.91844,2.52564,2.06244,0.00974863,0.00974863,0.00974863
15,365.589,1.29595,1.40224,1.39424,0.59006,0.31139,0.3997,0.18053,1.9465,2.22087,2.21593,0.0097293,0.0097293,0.0097293
16,389.346,1.27843,1.37319,1.38218,0.5939,0.51924,0.51401,0.26591,1.81242,1.91997,2.04834,0.00970996,0.00970996,0.00970996
17,412.924,1.2615,1.33378,1.36475,0.65826,0.38777,0.45266,0.2222,1.78275,1.92621,2.0028,0.00969063,0.00969063,0.00969063
18,436.858,1.22508,1.29874,1.35579,0.60463,0.48406,0.50552,0.26366,1.73713,1.89945,1.96824,0.00967129,0.00967129,0.00967129
19,460.795,1.27768,1.3354,1.38758,0.47803,0.35315,0.39448,0.19845,1.90021,2.43836,2.17036,0.00965195,0.00965195,0.00965195
20,484.727,1.25347,1.25409,1.35032,0.54982,0.50123,0.51709,0.26056,1.85805,1.90079,2.13024,0.00963262,0.00963262,0.00963262
