epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,990.128,1.46338,1.65138,1.74789,0.5886,0.44901,0.44281,0.24614,1.83137,2.21777,2.19978,0.00920723,0.00920723,0.00920723
43,1013.86,1.45275,1.62588,1.72102,0.55695,0.43948,0.46526,0.24775,1.81928,2.14769,2.17229,0.00918789,0.00918789,0.00918789
44,1037.12,1.41798,1.58971,1.70153,0.50068,0.4161,0.37417,0.19493,1.89991,2.23956,2.25748,0.00916855,0.00916855,0.00916855
45,1060.33,1.40395,1.54557,1.68251,0.56187,0.41579,0.44561,0.23631,1.86381,2.04562,2.23984,0.00914922,0.00914922,0.00914922
46,1083.86,1.41306,1.579,1.69228,0.49807,0.49645,0.47326,0.25215,1.77511,2.02659,2.11753,0.00912988,0.00912988,0.00912988
47,1107.99,1.38263,1.54884,1.67586,0.45527,0.34102,0.35814,0.19989,1.85579,2.41549,2.25628,0.00911055,0.00911055,0.00911055
48,1131.22,1.38827,1.50847,1.65917,0.58199,0.45779,0.45002,0.24033,1.82221,1.98109,2.17036,0.00909121,0.00909121,0.00909121
49,1154.67,1.40051,1.52017,1.65847,0.5996,0.31318,0.36316,0.19389,1.91667,2.45347,2.30529,0.00907188,0.00907188,0.00907188
50,1178.08,1.34174,1.46193,1.63196,0.52662,0.4921,0.47692,0.26723,1.71472,1.873,2.06621,0.00905254,0.00905254,0.00905254
51,1201.32,1.33993,1.45565,1.62608,0.63139,0.49753,0.51911,0.28049,1.79517,1.92091,2.20416,0.0090332,0.0090332,0.0090332
52,1224.55,1.3353,1.42593,1.60641,0.64401,0.47359,0.52651,0.27508,1.76266,1.88149,2.14978,0.00901387,0.00901387,0.00901387
53,1247.77,1.36545,1.45118,1.62723,0.54211,0.53115,0.50045,0.26972,1.72223,1.90655,2.05781,0.00899453,0.00899453,0.00899453
54,1271.02,1.31497,1.37549,1.58429,0.52965,0.41055,0.42642,0.22649,1.87136,2.16538,2.25575,0.0089752,0.0089752,0.0089752
55,1294.31,1.31579,1.41855,1.60731,0.65935,0.40133,0.45767,0.24276,1.86118,2.24082,2.21987,0.00895586,0.00895586,0.00895586
56,1318.2,1.28478,1.34135,1.57295,0.73666,0.42674,0.50675,0.2711,1.73448,1.90355,2.10277,0.00893652,0.00893652,0.00893652
57,1341.39,1.31866,1.37646,1.59891,0.60834,0.4748,0.51169,0.28286,1.77488,1.9838,2.10834,0.00891719,0.00891719,0.00891719
58,1364.58,1.29228,1.35891,1.5693,0.64077,0.46141,0.51238,0.27363,1.85554,1.91475,2.20158,0.00889785,0.00889785,0.00889785
59,1387.8,1.32729,1.39118,1.60778,0.63367,0.52596,0.53212,0.28665,1.77538,1.85051,2.12511,0.00887852,0.00887852,0.00887852
60,1411.1,1.32612,1.36299,1.60243,0.5834,0.5298,0.50711,0.28809,1.76313,1.94745,2.0873,0.00885918,0.00885918,0.00885918
61,1434.48,1.25854,1.31513,1.53833,0.77244,0.4964,0.59023,0.33022,1.62863,1.76407,1.9792,0.00883984,0.00883984,0.00883984
62,1457.71,1.29126,1.30706,1.55969,0.64355,0.51908,0.53962,0.29656,1.74564,1.86517,2.06849,0.00882051,0.00882051,0.00882051
63,1480.98,1.29173,1.31966,1.56052,0.66096,0.53285,0.5514,0.29888,1.68731,1.79571,2.03804,0.00880117,0.00880117,0.00880117
64,1504.21,1.27659,1.28514,1.559,0.55371,0.44413,0.47997,0.27482,1.71365,1.9902,2.04372,0.00878184,0.00878184,0.00878184
65,1527.41,1.29094,1.31727,1.55316,0.67851,0.48179,0.52446,0.30151,1.73837,1.9265,2.04223,0.0087625,0.0087625,0.0087625
66,1551.03,1.26512,1.2679,1.53216,0.6133,0.57913,0.58557,0.32814,1.63635,1.75638,1.96943,0.00874316,0.00874316,0.00874316
67,1574.59,1.27004,1.27602,1.54223,0.67538,0.51181,0.54486,0.28619,1.75192,1.76436,2.08418,0.00872383,0.00872383,0.00872383
68,1597.79,1.23994,1.2613,1.5139,0.78834,0.48524,0.58345,0.31907,1.76679,1.72947,2.05341,0.00870449,0.00870449,0.00870449
69,1621.29,1.24704,1.22473,1.50822,0.79473,0.53283,0.60463,0.34184,1.64166,1.72266,1.97638,0.00868516,0.00868516,0.00868516
70,1644.5,1.2368,1.24168,1.50467,0.63294,0.52986,0.5515,0.32253,1.64844,1.76959,2.00805,0.00866582,0.00866582,0.00866582
71,1667.72,1.26742,1.26533,1.51865,0.69202,0.53666,0.61085,0.3283,1.72499,1.7569,2.07567,0.00864648,0.00864648,0.00864648
72,1691.36,1.23197,1.18796,1.48906,0.66406,0.58137,0.58937,0.35619,1.63781,1.62603,1.9716,0.00862715,0.00862715,0.00862715
73,1714.67,1.19446,1.18254,1.46564,0.74982,0.55162,0.59887,0.33893,1.6276,1.62562,1.96924,0.00860781,0.00860781,0.00860781
74,1738.66,1.20908,1.18306,1.46992,0.63356,0.54391,0.61233,0.34523,1.65385,1.65974,1.96124,0.00858848,0.00858848,0.00858848
75,1762.26,1.19908,1.17959,1.47276,0.63581,0.52853,0.56883,0.33151,1.66114,1.77179,1.98463,0.00856914,0.00856914,0.00856914
76,1785.47,1.20726,1.13805,1.47823,0.73675,0.5519,0.61241,0.34001,1.65045,1.62139,1.96388,0.0085498,0.0085498,0.0085498
77,1809.08,1.18176,1.14492,1.45322,0.69392,0.5723,0.60454,0.34487,1.66703,1.63859,1.97051,0.00853047,0.00853047,0.00853047
78,1832.3,1.22082,1.18988,1.47721,0.7756,0.54344,0.62904,0.35636,1.63796,1.57754,1.93542,0.00851113,0.00851113,0.00851113
79,1855.51,1.18329,1.14242,1.44295,0.633,0.54303,0.56161,0.33198,1.66391,1.65608,1.99963,0.0084918,0.0084918,0.0084918
80,1879.11,1.18051,1.1394,1.46381,0.76971,0.53577,0.61254,0.34975,1.67525,1.69192,2.00709,0.00847246,0.00847246,0.00847246
81,1902.68,1.19261,1.1426,1.45243,0.77414,0.57344,0.63076,0.37163,1.59174,1.57057,1.93203,0.00845313,0.00845313,0.00845313
82,1926.3,1.19025,1.15795,1.46333,0.76181,0.54809,0.6366,0.36097,1.64761,1.60188,1.98916,0.00843379,0.00843379,0.00843379
83,1949.51,1.17589,1.12999,1.44275,0.74982,0.55959,0.62288,0.36529,1.5769,1.51047,1.91559,0.00841445,0.00841445,0.00841445
84,1972.72,1.17167,1.09991,1.43006,0.83362,0.54353,0.642,0.38755,1.60007,1.56432,1.90707,0.00839512,0.00839512,0.00839512
85,1995.91,1.17136,1.11477,1.42968,0.72237,0.56548,0.61012,0.34667,1.63956,1.58252,1.95949,0.00837578,0.00837578,0.00837578
86,2019.53,1.16141,1.09672,1.42623,0.71355,0.55413,0.61574,0.36924,1.55196,1.55622,1.87566,0.00835645,0.00835645,0.00835645
87,2042.99,1.15978,1.11074,1.42827,0.74062,0.5954,0.63699,0.37383,1.64832,1.57951,1.9734,0.00833711,0.00833711,0.00833711
88,2066.59,1.15513,1.08344,1.43361,0.77356,0.60434,0.6415,0.37353,1.66534,1.52437,1.96882,0.00831777,0.00831777,0.00831777
89,2089.83,1.14908,1.08611,1.42054,0.79581,0.59066,0.64523,0.37548,1.62529,1.51558,1.92709,0.00829844,0.00829844,0.00829844
90,2113.06,1.13788,1.05547,1.41427,0.76983,0.58901,0.64434,0.34986,1.69188,1.63709,2.02043,0.0082791,0.0082791,0.0082791
91,2136.31,1.1627,1.08143,1.41605,0.68306,0.56824,0.61692,0.35165,1.5762,1.54853,1.89621,0.00825977,0.00825977,0.00825977
92,2159.87,1.13348,1.04806,1.40529,0.75363,0.59056,0.6283,0.38498,1.60027,1.53441,1.88176,0.00824043,0.00824043,0.00824043
93,2183.48,1.16998,1.08702,1.43071,0.65471,0.49779,0.55314,0.32554,1.63692,1.80125,1.93492,0.00822109,0.00822109,0.00822109
94,2207.05,1.13351,1.05721,1.40055,0.75676,0.56022,0.6112,0.33158,1.70264,1.57637,2.00807,0.00820176,0.00820176,0.00820176
95,2230.68,1.12727,1.04155,1.4025,0.7302,0.58642,0.62423,0.36719,1.56243,1.54916,1.8828,0.00818242,0.00818242,0.00818242
96,2253.91,1.15176,1.05241,1.40676,0.71611,0.59202,0.64981,0.35942,1.63203,1.49757,1.97893,0.00816309,0.00816309,0.00816309
97,2277.18,1.122,1.03752,1.38399,0.7582,0.59862,0.66682,0.39715,1.56512,1.41053,1.86555,0.00814375,0.00814375,0.00814375
98,2300.4,1.13525,1.0474,1.39706,0.80561,0.60297,0.67477,0.37515,1.58411,1.42923,1.89975,0.00812441,0.00812441,0.00812441
99,2323.93,1.10836,1.00032,1.38604,0.77694,0.63655,0.67733,0.39086,1.56284,1.45759,1.89292,0.00810508,0.00810508,0.00810508
100,2347.2,1.1287,1.03948,1.39053,0.81813,0.62458,0.67754,0.4094,1.55616,1.43821,1.89006,0.00808574,0.00808574,0.00808574
101,2370.43,1.09667,1.00811,1.38017,0.71646,0.55995,0.59599,0.33361,1.60415,1.65827,1.91043,0.00806641,0.00806641,0.00806641
102,2393.69,1.09377,1.00571,1.36882,0.8277,0.5755,0.63262,0.34657,1.68365,1.54027,1.9863,0.00804707,0.00804707,0.00804707
103,2416.96,1.13151,1.03683,1.38537,0.81138,0.6036,0.6654,0.38722,1.54317,1.45317,1.86101,0.00802773,0.00802773,0.00802773
104,2440.21,1.10058,1.0162,1.37137,0.75535,0.6224,0.65602,0.37007,1.57986,1.42756,1.9101,0.0080084,0.0080084,0.0080084
105,2463.83,1.11876,1.01183,1.37973,0.74225,0.55179,0.60671,0.34095,1.8013,1.54997,2.11179,0.00798906,0.00798906,0.00798906
106,2487.46,1.0891,0.96488,1.35866,0.82775,0.59699,0.66291,0.39217,1.51651,1.36606,1.86679,0.00796973,0.00796973,0.00796973
107,2511.36,1.08324,0.9759,1.35901,0.73568,0.6112,0.64118,0.39187,1.54974,1.47029,1.87906,0.00795039,0.00795039,0.00795039
108,2534.58,1.08256,0.99569,1.36495,0.7561,0.61374,0.66516,0.40058,1.59172,1.43101,1.89439,0.00793105,0.00793105,0.00793105
109,2557.8,1.06217,0.98866,1.35034,0.78628,0.61363,0.67451,0.38155,1.62754,1.52002,1.94839,0.00791172,0.00791172,0.00791172
110,2581.05,1.07895,0.9733,1.34712,0.86276,0.60384,0.68379,0.40415,1.53705,1.39522,1.8642,0.00789238,0.00789238,0.00789238
111,2604.3,1.05874,0.94786,1.33672,0.82922,0.64012,0.69311,0.40809,1.58749,1.41903,1.90205,0.00787305,0.00787305,0.00787305
112,2627.91,1.07347,0.94143,1.34708,0.83002,0.63811,0.69157,0.39786,1.55588,1.42532,1.85741,0.00785371,0.00785371,0.00785371
113,2651.29,1.06977,0.95727,1.34329,0.86639,0.6295,0.68615,0.4034,1.56799,1.42296,1.88479,0.00783438,0.00783438,0.00783438
114,2674.52,1.08289,0.97627,1.36128,0.75769,0.60065,0.65185,0.36966,1.66456,1.55266,1.9448,0.00781504,0.00781504,0.00781504
115,2697.75,1.06727,0.96688,1.3513,0.82284,0.61314,0.67155,0.41153,1.53343,1.41039,1.83096,0.0077957,0.0077957,0.0077957
116,2721.28,1.07714,0.9669,1.34535,0.80848,0.65699,0.69105,0.40458,1.63335,1.43215,1.94,0.00777637,0.00777637,0.00777637
117,2744.49,1.05991,0.94516,1.33964,0.79192,0.64214,0.67607,0.39367,1.59153,1.47972,1.87924,0.00775703,0.00775703,0.00775703
118,2767.8,1.08523,0.94721,1.35315,0.8306,0.5926,0.67945,0.39061,1.55685,1.48082,1.836,0.0077377,0.0077377,0.0077377
119,2791.03,1.04313,0.92735,1.3176,0.84107,0.60398,0.67244,0.39278,1.58566,1.43962,1.90167,0.00771836,0.00771836,0.00771836
120,2814.25,1.0545,0.94226,1.33386,0.86946,0.58544,0.69118,0.39596,1.6056,1.43302,1.91504,0.00769902,0.00769902,0.00769902
121,2837.51,1.05436,0.937,1.33004,0.82904,0.63851,0.69758,0.39922,1.57838,1.40432,1.86686,0.00767969,0.00767969,0.00767969
122,2860.8,1.04971,0.90449,1.31878,0.8072,0.63647,0.70771,0.4208,1.52813,1.34572,1.84412,0.00766035,0.00766035,0.00766035
123,2884.13,1.04293,0.91704,1.31806,0.83821,0.6371,0.68362,0.42139,1.57392,1.34298,1.86073,0.00764102,0.00764102,0.00764102
124,2907.32,1.00767,0.88095,1.29538,0.76659,0.63604,0.67974,0.40485,1.54556,1.36105,1.85823,0.00762168,0.00762168,0.00762168
125,2930.62,1.02838,0.8797,1.31038,0.85977,0.64902,0.7096,0.41672,1.51452,1.34213,1.8371,0.00760234,0.00760234,0.00760234
126,2953.91,1.03729,0.90377,1.31935,0.85829,0.65293,0.6948,0.42478,1.50127,1.36043,1.83081,0.00758301,0.00758301,0.00758301
127,2977.23,1.04101,0.91136,1.32475,0.89155,0.60628,0.68778,0.40933,1.53568,1.36404,1.84969,0.00756367,0.00756367,0.00756367
128,3000.9,1.02233,0.89651,1.31371,0.88973,0.64231,0.71726,0.42718,1.50667,1.37539,1.83894,0.00754434,0.00754434,0.00754434
129,3024.32,1.0344,0.90348,1.31167,0.81116,0.65969,0.6969,0.42961,1.54303,1.42625,1.84874,0.007525,0.007525,0.007525
130,3047.93,1.02073,0.88352,1.30522,0.87975,0.62543,0.69555,0.42904,1.4903,1.40482,1.79198,0.00750566,0.00750566,0.00750566
131,3071.24,1.03317,0.89655,1.29838,0.86988,0.62698,0.69337,0.41837,1.50522,1.37839,1.82352,0.00748633,0.00748633,0.00748633
132,3094.53,1.01825,0.88488,1.30128,0.86499,0.62468,0.69264,0.41335,1.52555,1.359,1.84415,0.00746699,0.00746699,0.00746699
133,3117.72,0.99171,0.85188,1.27329,0.82879,0.61852,0.686,0.41703,1.53849,1.40313,1.8796,0.00744766,0.00744766,0.00744766
134,3141.12,1.02183,0.87028,1.30135,0.83297,0.63014,0.69985,0.42063,1.49174,1.27526,1.81434,0.00742832,0.00742832,0.00742832
135,3164.46,1.0233,0.87093,1.29474,0.81495,0.6308,0.67782,0.40518,1.49879,1.36097,1.8121,0.00740898,0.00740898,0.00740898
136,3187.66,1.00896,0.88238,1.29297,0.82401,0.66898,0.7266,0.42617,1.48929,1.28549,1.80904,0.00738965,0.00738965,0.00738965
137,3210.94,1.01101,0.87489,1.28967,0.84657,0.6392,0.71438,0.42193,1.51818,1.30512,1.85412,0.00737031,0.00737031,0.00737031
138,3234.15,1.02987,0.88004,1.29627,0.86761,0.59255,0.69935,0.42298,1.47839,1.32015,1.79834,0.00735098,0.00735098,0.00735098
139,3257.47,1.01207,0.86714,1.28348,0.87073,0.65267,0.71789,0.42996,1.5001,1.30149,1.81899,0.00733164,0.00733164,0.00733164
140,3281.14,1.00024,0.84237,1.2716,0.85319,0.65388,0.70669,0.42551,1.47578,1.28013,1.77067,0.0073123,0.0073123,0.0073123
141,3304.61,0.98968,0.83297,1.27562,0.87264,0.64545,0.71163,0.42304,1.49863,1.3529,1.85154,0.00729297,0.00729297,0.00729297
142,3328.28,0.97327,0.81577,1.25339,0.90058,0.63717,0.70762,0.43358,1.49343,1.31513,1.81396,0.00727363,0.00727363,0.00727363
