epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.9918,3.37416,5.09924,4.15795,0.00204,0.24605,0.00299,0.00129,3.03671,4.31434,4.12845,0.000362927,0.000362927,0.000362927
2,53.8397,3.07439,4.80022,3.70145,0.00189,0.24164,0.00255,0.00054,3.40633,4.03866,3.90379,0.000718741,0.000718741,0.000718741
3,77.958,2.84206,4.45506,3.34491,0.81369,0.0011,0.0015,0.00034,3.00732,4.73494,3.87627,0.00105989,0.00105989,0.00105989
4,102.717,2.71156,4.11889,3.10648,0.0033,0.1417,0.00204,0.0004,2.8481,4.8985,3.59177,0.00104501,0.00104501,0.00104501
5,126.506,2.55729,3.87636,2.98915,0.00919,0.39848,0.01368,0.00372,2.75395,4.42629,3.38372,0.00102301,0.00102301,0.00102301
6,150.922,2.47146,3.68164,2.85092,0.21565,0.0441,0.01147,0.00266,2.68605,4.03242,3.33921,0.00100101,0.00100101,0.00100101
7,176.29,2.34877,3.50277,2.71235,0.86073,0.02727,0.02923,0.00848,2.4108,3.8137,2.96401,0.000979013,0.000979013,0.000979013
8,200.764,2.29885,3.42196,2.67376,0.00374,0.48317,0.03899,0.01411,2.28167,3.78033,3.00427,0.000957015,0.000957015,0.000957015
9,225.852,2.17553,3.20253,2.56295,0.2818,0.08217,0.06283,0.01458,2.40417,3.69733,2.96175,0.000935018,0.000935018,0.000935018
10,250.469,2.12049,3.03186,2.49204,0.12404,0.11669,0.09846,0.02634,2.33923,3.80828,2.93021,0.00091302,0.00091302,0.00091302
11,275.847,2.07552,2.97384,2.44172,0.95326,0.07971,0.12949,0.03501,2.29171,3.54096,2.85052,0.000891022,0.000891022,0.000891022
12,300.854,2.06546,2.85877,2.41226,0.89377,0.0751,0.11575,0.03883,2.22109,3.57806,2.83882,0.000869024,0.000869024,0.000869024
13,325.879,1.98846,2.7275,2.34764,0.19355,0.17499,0.14398,0.04959,2.18058,3.24134,2.7839,0.000847026,0.000847026,0.000847026
14,350.877,1.96802,2.67641,2.31882,0.17643,0.16624,0.15794,0.05921,2.23077,3.13824,2.74205,0.000825029,0.000825029,0.000825029
15,376.236,1.91963,2.57631,2.2604,0.71593,0.18492,0.16051,0.06423,2.12292,3.64471,2.74614,0.000803031,0.000803031,0.000803031
16,402.537,1.87117,2.52631,2.23769,0.85143,0.18539,0.19582,0.09686,2.16454,3.2182,2.7458,0.000781033,0.000781033,0.000781033
17,426.115,1.85904,2.39045,2.17144,0.89687,0.17868,0.23408,0.10334,2.1312,2.97336,2.68492,0.000759035,0.000759035,0.000759035
18,450.613,1.80443,2.34203,2.15124,0.59447,0.20783,0.21309,0.10086,2.05238,3.10754,2.64327,0.000737037,0.000737037,0.000737037
19,475.401,1.80899,2.35164,2.14974,0.63074,0.20554,0.21714,0.09704,2.10956,3.13641,2.72605,0.00071504,0.00071504,0.00071504
20,499.158,1.78766,2.25617,2.12516,0.38055,0.1907,0.22936,0.12373,2.0638,2.95692,2.65445,0.000693042,0.000693042,0.000693042
21,523.582,1.76377,2.20937,2.09594,0.54145,0.27659,0.27786,0.13572,2.03533,2.79822,2.63102,0.000671044,0.000671044,0.000671044
22,547.766,1.72822,2.17095,2.06798,0.68773,0.19257,0.26029,0.13483,2.08065,2.9363,2.62462,0.000649046,0.000649046,0.000649046
23,572.502,1.69755,2.09587,2.03696,0.43601,0.34267,0.29672,0.14726,1.98218,2.70614,2.59586,0.000627048,0.000627048,0.000627048
24,596.837,1.69913,2.13024,2.02824,0.2491,0.28842,0.26661,0.11953,2.01613,2.67895,2.58109,0.000605051,0.000605051,0.000605051
25,620.354,1.677,2.0731,2.01493,0.48146,0.26385,0.29787,0.15763,2.01102,2.77029,2.58068,0.000583053,0.000583053,0.000583053
26,645.822,1.6224,1.98424,1.95953,0.40618,0.32376,0.32831,0.16356,1.98338,2.52378,2.49459,0.000561055,0.000561055,0.000561055
27,669.773,1.6396,1.97213,1.98839,0.49934,0.37432,0.33229,0.16787,1.90404,2.6114,2.45561,0.000539057,0.000539057,0.000539057
28,694.077,1.59892,1.92551,1.93068,0.40601,0.35739,0.33499,0.16809,1.92871,2.56204,2.45665,0.000517059,0.000517059,0.000517059
29,718.954,1.61019,1.9598,1.9413,0.49869,0.30269,0.31053,0.14569,1.95125,2.73033,2.51092,0.000495062,0.000495062,0.000495062
30,743.57,1.56109,1.8795,1.89832,0.5143,0.33889,0.37906,0.17383,1.94163,2.45188,2.45822,0.000473064,0.000473064,0.000473064
31,767.923,1.54149,1.84188,1.88581,0.28317,0.29899,0.28171,0.15068,1.96814,2.762,2.51297,0.000451066,0.000451066,0.000451066
32,791.397,1.52356,1.8064,1.86928,0.4492,0.35051,0.35367,0.17988,1.89162,2.39251,2.41735,0.000429068,0.000429068,0.000429068
33,815.707,1.49487,1.79723,1.87193,0.49314,0.43166,0.38601,0.20134,1.88207,2.60819,2.40455,0.00040707,0.00040707,0.00040707
34,840.434,1.5116,1.77604,1.84797,0.57021,0.36149,0.38693,0.20503,1.8613,2.38328,2.33846,0.000385073,0.000385073,0.000385073
35,864.843,1.46472,1.69783,1.82223,0.47718,0.35305,0.35631,0.18608,1.89661,2.3585,2.36522,0.000363075,0.000363075,0.000363075
36,889.174,1.46834,1.69351,1.8196,0.46515,0.34536,0.33399,0.19234,1.85473,2.36006,2.35965,0.000341077,0.000341077,0.000341077
