epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.5424,1.59621,3.92936,1.70242,0.00829,0.44428,0.01856,0.00647,2.48338,4.10916,2.43747,0.000362927,0.000362927,0.000362927
2,51.97,1.48357,2.77833,1.60428,0.71955,0.04392,0.13301,0.05235,2.01524,3.36706,2.12571,0.000718741,0.000718741,0.000718741
3,76.0548,1.47925,2.42266,1.56047,0.13201,0.10382,0.05005,0.01264,2.49288,4.1208,3.35352,0.00105989,0.00105989,0.00105989
4,100.126,1.49088,2.26499,1.56722,0.34328,0.23549,0.18805,0.09911,1.93482,3.69562,2.31727,0.00104501,0.00104501,0.00104501
5,123.976,1.45836,1.98006,1.53109,0.34219,0.29553,0.17958,0.07377,2.17315,3.24323,2.52758,0.00102301,0.00102301,0.00102301
6,147.918,1.37366,1.76333,1.47599,0.63071,0.34139,0.32784,0.16,2.01891,3.15597,2.31382,0.00100101,0.00100101,0.00100101
7,171.829,1.34332,1.65339,1.45881,0.61082,0.37821,0.45654,0.26588,1.66415,2.05797,1.92766,0.000979013,0.000979013,0.000979013
8,195.792,1.35487,1.60267,1.44776,0.42833,0.26441,0.2768,0.14346,1.85095,2.62356,2.18356,0.000957015,0.000957015,0.000957015
9,219.692,1.28344,1.48513,1.4201,0.78257,0.30684,0.41279,0.19791,1.88907,2.39622,2.2362,0.000935018,0.000935018,0.000935018
10,243.663,1.27007,1.40035,1.41122,0.65306,0.41096,0.5009,0.27089,1.76761,1.9562,2.04393,0.00091302,0.00091302,0.00091302
11,268.352,1.25465,1.37177,1.39116,0.50917,0.37817,0.37074,0.20665,1.7229,2.2922,2.04596,0.000891022,0.000891022,0.000891022
12,292.662,1.23578,1.31505,1.37207,0.6331,0.5116,0.53389,0.28408,1.66144,1.80419,1.89759,0.000869024,0.000869024,0.000869024
13,316.614,1.18379,1.2173,1.33857,0.61689,0.42638,0.47387,0.23919,1.78126,2.1997,2.01217,0.000847026,0.000847026,0.000847026
14,340.55,1.1707,1.22446,1.33001,0.53008,0.42532,0.44143,0.25433,1.68707,2.1178,1.94653,0.000825029,0.000825029,0.000825029
15,364.526,1.16727,1.16244,1.31917,0.57636,0.49568,0.52547,0.27263,1.73967,1.95429,2.07343,0.000803031,0.000803031,0.000803031
16,388.446,1.1433,1.11514,1.311,0.67775,0.51047,0.57904,0.30025,1.73736,1.73544,1.99226,0.000781033,0.000781033,0.000781033
17,412.413,1.10685,1.07559,1.28338,0.69378,0.54832,0.59324,0.32156,1.65123,1.65761,1.93909,0.000759035,0.000759035,0.000759035
18,436.291,1.08712,1.04212,1.27924,0.64239,0.49537,0.5625,0.31963,1.59391,1.77228,1.89706,0.000737037,0.000737037,0.000737037
19,460.22,1.11151,1.07255,1.298,0.76102,0.58967,0.63674,0.36148,1.58876,1.51635,1.85796,0.00071504,0.00071504,0.00071504
20,484.226,1.10602,1.00297,1.27612,0.7444,0.55654,0.63434,0.34027,1.62335,1.62572,1.88162,0.000693042,0.000693042,0.000693042
21,508.102,1.08181,1.00061,1.26592,0.70707,0.4754,0.55641,0.29988,1.71634,1.90437,1.92016,0.000671044,0.000671044,0.000671044
22,531.983,1.05155,0.94046,1.24441,0.7528,0.57022,0.6432,0.36698,1.55778,1.47813,1.82112,0.000649046,0.000649046,0.000649046
23,556.019,1.04563,0.93532,1.24731,0.71818,0.58468,0.62074,0.36548,1.51534,1.53095,1.80692,0.000627048,0.000627048,0.000627048
24,579.868,1.05531,0.93356,1.24708,0.7004,0.51111,0.55292,0.3082,1.6609,1.74327,1.92767,0.000605051,0.000605051,0.000605051
25,603.825,1.03541,0.9156,1.23039,0.76662,0.65591,0.67964,0.38497,1.47235,1.36623,1.72068,0.000583053,0.000583053,0.000583053
26,627.718,1.01236,0.88502,1.22052,0.79946,0.63721,0.69554,0.40291,1.50182,1.36314,1.80411,0.000561055,0.000561055,0.000561055
27,651.651,1.0226,0.86238,1.22627,0.72483,0.70222,0.71408,0.40955,1.42833,1.22461,1.69007,0.000539057,0.000539057,0.000539057
28,675.569,0.99913,0.85699,1.20362,0.85581,0.60633,0.71456,0.43517,1.39382,1.32237,1.65459,0.000517059,0.000517059,0.000517059
29,699.509,1.00303,0.86221,1.19925,0.77764,0.70246,0.7442,0.45191,1.37682,1.22073,1.64843,0.000495062,0.000495062,0.000495062
30,723.509,0.97304,0.81413,1.19352,0.89793,0.68937,0.77693,0.46482,1.36853,1.20385,1.6542,0.000473064,0.000473064,0.000473064
31,747.479,0.95021,0.81008,1.18251,0.84795,0.65854,0.74579,0.45619,1.41221,1.26885,1.66567,0.000451066,0.000451066,0.000451066
32,771.312,0.95982,0.79679,1.18745,0.81775,0.69457,0.76796,0.45729,1.36703,1.15271,1.63594,0.000429068,0.000429068,0.000429068
33,795.333,0.92817,0.76778,1.17016,0.81261,0.71857,0.77554,0.4652,1.40938,1.15769,1.67388,0.00040707,0.00040707,0.00040707
34,819.282,0.91538,0.76811,1.15636,0.88587,0.65703,0.75926,0.45627,1.38412,1.11377,1.6755,0.000385073,0.000385073,0.000385073
35,843.508,0.89896,0.73325,1.15146,0.8015,0.70661,0.76292,0.46062,1.37253,1.10372,1.63697,0.000363075,0.000363075,0.000363075
36,867.14,0.90151,0.73064,1.14781,0.84845,0.71704,0.76989,0.47692,1.32018,1.08248,1.59356,0.000341077,0.000341077,0.000341077
37,891.079,0.89184,0.72406,1.1417,0.80097,0.73116,0.78407,0.48213,1.34888,1.08254,1.63135,0.000319079,0.000319079,0.000319079
38,914.986,0.88063,0.71882,1.14287,0.87552,0.72263,0.78097,0.4865,1.3315,1.07896,1.62022,0.000297081,0.000297081,0.000297081
39,938.959,0.90105,0.70702,1.15553,0.85621,0.70254,0.77213,0.48008,1.32996,1.04,1.59991,0.000275084,0.000275084,0.000275084
40,962.837,0.86451,0.68702,1.12478,0.84279,0.72223,0.78577,0.48227,1.34557,1.04949,1.62686,0.000253086,0.000253086,0.000253086
41,988.341,0.85866,0.60526,1.13972,0.85884,0.7294,0.78963,0.48557,1.34358,1.11273,1.63324,0.000231088,0.000231088,0.000231088
42,1011.9,0.82708,0.56891,1.12365,0.91797,0.72081,0.81522,0.5069,1.31629,0.97007,1.6083,0.00020909,0.00020909,0.00020909
43,1035.44,0.82118,0.54968,1.12057,0.89855,0.73728,0.79874,0.5119,1.29522,0.94825,1.59527,0.000187092,0.000187092,0.000187092
44,1058.99,0.79651,0.54081,1.10635,0.84319,0.77108,0.80644,0.50907,1.28077,0.96275,1.58774,0.000165095,0.000165095,0.000165095
45,1082.55,0.7928,0.5336,1.10397,0.85993,0.76691,0.81787,0.51988,1.29003,0.97334,1.58656,0.000143097,0.000143097,0.000143097
46,1106.34,0.76698,0.51283,1.08375,0.89036,0.75024,0.80877,0.50875,1.30334,0.92224,1.61539,0.000121099,0.000121099,0.000121099
47,1130.29,0.7574,0.50542,1.08541,0.88087,0.77198,0.81714,0.5155,1.28156,0.90983,1.60638,9.91012e-05,9.91012e-05,9.91012e-05
48,1154.19,0.75066,0.48639,1.07182,0.9199,0.73091,0.82278,0.52269,1.28643,0.92874,1.60554,7.71034e-05,7.71034e-05,7.71034e-05
49,1177.89,0.73193,0.47366,1.07012,0.8612,0.75164,0.80281,0.5138,1.27519,0.90844,1.58803,5.51056e-05,5.51056e-05,5.51056e-05
50,1201.96,0.72971,0.47946,1.05935,0.88382,0.76794,0.81861,0.52813,1.26703,0.89419,1.58715,3.31078e-05,3.31078e-05,3.31078e-05
