epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.2399,1.70966,4.30412,1.79341,0.00366,0.53094,0.02752,0.01355,1.66452,3.87704,1.86887,0.00326667,0.00326667,0.00326667
2,45.9452,1.43238,3.08502,1.5298,0.80469,0.11407,0.14159,0.06651,1.78798,3.20174,1.96003,0.00658724,0.00658724,0.00658724
3,68.5469,1.44598,2.6232,1.50872,0.32507,0.21467,0.14884,0.06322,2.31002,4.25684,2.4903,0.00989492,0.00989492,0.00989492
4,91.0039,1.5109,2.47092,1.54766,0.23558,0.24856,0.10027,0.05831,2.03232,4.53891,2.67761,0.00994199,0.00994199,0.00994199
5,113.966,1.54597,2.24771,1.55937,0.20779,0.25223,0.11151,0.04446,2.09807,6.65313,2.48446,0.00992266,0.00992266,0.00992266
6,136.316,1.52739,2.0676,1.55324,0.33828,0.23052,0.18111,0.07003,2.30303,3.11823,2.75152,0.00990332,0.00990332,0.00990332
7,158.71,1.48208,1.93558,1.52399,0.45541,0.19468,0.22767,0.11521,1.87759,2.88724,2.16592,0.00988398,0.00988398,0.00988398
8,181.424,1.48859,1.86055,1.50383,0.47571,0.42991,0.36558,0.17228,1.94641,2.39388,2.22953,0.00986465,0.00986465,0.00986465
9,204.053,1.41191,1.71859,1.46271,0.61244,0.38636,0.38835,0.1907,1.84637,2.24002,2.21517,0.00984531,0.00984531,0.00984531
10,227.409,1.3813,1.6177,1.44325,0.431,0.4223,0.3667,0.1743,1.97555,3.10678,2.26036,0.00982598,0.00982598,0.00982598
11,250.356,1.39073,1.61523,1.44621,0.56702,0.44094,0.42309,0.20031,1.93791,2.43,2.1893,0.00980664,0.00980664,0.00980664
12,272.626,1.37897,1.55186,1.43368,0.34274,0.37272,0.3126,0.1487,1.98978,2.46576,2.18259,0.0097873,0.0097873,0.0097873
13,295.292,1.32889,1.48713,1.40215,0.69331,0.34728,0.43166,0.19452,1.83523,2.23461,2.10542,0.00976797,0.00976797,0.00976797
14,318.253,1.3091,1.43388,1.39121,0.54368,0.48054,0.43021,0.20993,1.93089,2.14034,2.20946,0.00974863,0.00974863,0.00974863
15,340.49,1.30964,1.38874,1.37703,0.55772,0.45029,0.46507,0.2324,1.7799,2.0324,2.10466,0.0097293,0.0097293,0.0097293
16,363.585,1.29465,1.35394,1.36991,0.57948,0.40595,0.35212,0.15787,1.98514,2.8114,2.13498,0.00970996,0.00970996,0.00970996
17,386.283,1.27047,1.32327,1.34378,0.56243,0.50867,0.48682,0.26332,1.75139,1.8491,2.01605,0.00969063,0.00969063,0.00969063
18,409.049,1.24726,1.26894,1.33828,0.53935,0.47422,0.49278,0.25514,1.77586,1.98873,2.03685,0.00967129,0.00967129,0.00967129
19,432.017,1.26733,1.29854,1.36285,0.56281,0.48372,0.485,0.24222,1.80611,1.87453,2.01835,0.00965195,0.00965195,0.00965195
20,454.195,1.25535,1.23352,1.32669,0.69081,0.46229,0.50146,0.24756,1.92673,1.9445,2.24614,0.00963262,0.00963262,0.00963262
21,476.843,1.24101,1.22505,1.32775,0.62517,0.50548,0.52328,0.2937,1.67873,1.78926,1.9257,0.00961328,0.00961328,0.00961328
22,499.362,1.22688,1.19474,1.31101,0.71649,0.53212,0.55554,0.29555,1.67029,1.89267,1.88088,0.00959395,0.00959395,0.00959395
23,521.562,1.19479,1.16573,1.30225,0.83617,0.31417,0.38417,0.21524,1.87121,2.90511,2.1729,0.00957461,0.00957461,0.00957461
24,544.641,1.24036,1.19775,1.33228,0.62521,0.55737,0.55474,0.28241,1.74127,1.68604,1.98105,0.00955527,0.00955527,0.00955527
25,567.089,1.2244,1.14627,1.30729,0.71719,0.47744,0.5493,0.29189,1.67655,1.66603,1.85588,0.00953594,0.00953594,0.00953594
26,589.292,1.18902,1.13281,1.29077,0.64351,0.54936,0.56919,0.30398,1.62846,1.69065,1.83618,0.0095166,0.0095166,0.0095166
27,611.929,1.20028,1.12447,1.3051,0.66899,0.51728,0.56619,0.32536,1.61054,1.6519,1.81929,0.00949727,0.00949727,0.00949727
